CS,N,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS
7,,7,text7,1.8,322.39,TRUE,312|124|4|55,211|a|50|df,23.43|534.9|23.34|12.18,23.43|534.9|23.34|12.18,true|true|false|true,312|124|4|55,211|a|50~03|df,23.43|534.9|23.34|12.18,23.43|534.9|23.34|12.18,true|true|false~true|true,k1=1|k2=12|k3=328,k1=aa|k2=basb|k9=cc,k1=1|k2=12|k3=328,k1=1|k2=12|k3=328,k1=true|k2=false|k9=true,k1=1|k2=12|k3=328,k1=aa|k2=ba~sb|k9=cc,k1=1|k2=12|k3=328,k1=1|k2=12|k3=328,k1=true~false|k2=false|k9=true
8,,8,text8,1.9,322.4,TRUE,312|124|4|56,211|a|51|df,23.43|534.9|23.34|122.19,23.43|534.9|23.34|122.19,true|true|false|true,312|124|4|56,211|a|51|df,23.43|534.9|23.34|122.19,23.43|534.9|23.34|122.19,true|true|false|true~false,k1=1|k2=12|k3=329,k1=assa|k2=bb|k10=cc,k1=1|k2=12|k3=329,k1=1|k2=12|k3=329,k1=true|k2=false|k10=true,k1=1~2~99|k2=12~7|k3=322~2~33,k1=assa|k2=bb|k10=cc,k1=1|k2=12|k3=329,k1=1|k2=12|k3=329,k1=true|k2=false|k10=true
9,,9,text9,2.22,322.41,TRUE,312|124|4|57,211|a|52|df,23.43|534.9|23.34|12.20,23.43|534.9|23.34|12.20,true|true|false|true,312|124|4|57,211|a|52|df,23.43|534.9~12.23|23.34~233.3|12.20,23.43|534.9~12.23|23.34~233.3|12.20,true|true|false|true~false,k1=1|k2=122|k3=330,k1=aa|k2=bb|k11=cc,k1=1|k2=1.22|k3=3.30,k1=1|k2=1.22|k3=3.30,k1=true|k2=false|k11=true,k1=1|k2=122|k3=330,k1=aa|k2=bb|k11=cc,k1=1|k2=1.22|k3=3.30,k1=1|k2=1.22|k3=3.30,k1=true|k2=false|k11=true
10,,10,text10,2.1,322.42,TRUE,312|1224|4|58,211|a|53|df,23.43|534.9|23.34|12.21,23.43|534.9|23.34|12.21,true|true|false|true,312|1224|4|58,211|a|53|df,23.43|534.9|23.34|12.21,23.43|534.9|23.34|12.21,true|true~true~true|false|true,k1=12|k2=12|k3=331,k1=aa|k2=bb|k12=cc,k1=12|k2=12|k3=331,k1=12|k2=12|k3=331,k1=true|k2=false|k12=true,k1=12|k2=12|k3=3~31,k1=aa|k2=bb|k12=cc,k1=12~23.2|k2=12|k3=331~12.23,k1=12~23.2|k2=12|k3=331~12.23,k1=true|k2=false|k12=true
11,,11,text11,2.2,322.43,TRUE,2|124|4|592,211|a|54|df,23.43|534.9|23.34|12.22,23.43|534.9|23.34|12.22,true|false|false|true,2|124|4|592,211|a|54|df,23.43|534.9|23.34|12.22,23.43|534.9|23.34|12.22,true|false|false~true|true~true,k1=1|k2=12|k3=33222,k1=aa|k2=basb|k13=cc,k1=1|k2=12|k3=33.222,k1=1|k2=12|k3=33.222,k1=true|k2=false|k13=true,k1=1~21|k2=12|k3=3~32~22,k1=aa|k2=ba~sb|k13=cc,k1=1|k2=12|k3=33.222,k1=1|k2=12|k3=33.222,k1=true|k2=false|k13=true
12,,12,text12,2.3,322.44,TRUE,12|124|234|60,211|a|55|df,23.43|4.9|23.34|12.23,23.43|4.9|23.34|12.23,true|true|false|true,12|124|234|60,211|a|55|df,23.43|4.9|23.34|12.23,23.43|4.9|23.34|12.23,true|true|false~true~true|true,k1=1|k2=12|k3=333,k1=assa|k2=bb|k14=cc,k1=1|k2=12|k3=33.3,k1=1|k2=12|k3=33.3,k1=true|k2=false|k14=true,k1=1|k2=1~2|k3=2~23,k1=as~sa|k2=bb|k14=cc,k1=1|k2=12|k3=33.3,k1=1|k2=12|k3=33.3,k1=true|k2=false|k14=true
13,,13,text13,2.4,322.45,TRUE,312|124|4|61,as211|a|56|df,23.43|534.9|23.34|12.24,23.43|534.9|23.34|12.24,true|true|false|true,312|124|4|61,as211|a|56|df,23.43~25.5|53.9~12.2|23.34|12.24,23.43~25.5|53.9~12.2|23.34|12.24,true|true|false~true|true,k1=1|k2=12|k3=334,k1=aa|k2=bb|k15=cc,k1=1|k2=12|k3=33.4,k1=1|k2=12|k3=33.4,k1=true|k2=false|k15=true,k1=1|k2=12|k3=33~4,k1=aa|k2=bb|k15=c~c,k1=1|k2=12|k3=33.4,k1=1|k2=12|k3=33.4,k1=true|k2=false|k15=true~false
14,,14,text14,2.5,322.46,TRUE,312|124|423|621,211|a|57|df,23.43|534.9|23.34|12.25,23.43|534.9|23.34|12.25,true|true|false|true,312|124|423|621,211|a|57|df,23.43|534.9|23.34|12.25~12.12,23.43|534.9|23.34|12.25~12.12,true|true~true|false|true,k1=1|k2=12|k3=335,k1=aass|k2=bb|k16=cc,k1=1|k2=1.2|k3=33.5,k1=1|k2=1.2|k3=33.5,k1=true|k2=false|k16=true,k1=1|k2=12|k3=33~5,k1=aass|k2=bb|k16=cc,k1=1|k2=1.2|k3=33.5,k1=1|k2=1.2|k3=33.5,k1=true|k2=false|k16=true~false
15,,15,text15,2.6,322.47,FALSE,2|124|4|63,211|a|58|df,23.43|534.9|23.34|12.26,23.43|534.9|23.34|12.26,true|true|false|true,2|124|4|63,211|a|58|d~f,23.43|534.9|23.34|12.26,23.43|534.9|23.34|12.26,true|true|false|true,k1=1|k2=12|k3=336,k1=aa|k2=bb|k17=cc,k1=1|k2=12|k3=336,k1=1|k2=12|k3=336,k1=true|k2=false|k17=true,k1=1|k2=1~2|k3=336,k1=aa|k2=bb|k17=cc,k1=1|k2=12|k3=336,k1=1|k2=12|k3=336,k1=true|k2=false|k17=true
16,,16,text16,2.7,322.48,FALSE,64|4112|23,211|a|59|df,23.43|534.9|23.34|12.27,23.43|534.9|23.34|12.27,true|true|false|true,64|4112|23~786,211|a|59~as|df,23.43|534.9|23.34|12.27,23.43|534.9|23.34|12.27,true|true|false|true,k1=1|k2=12|k3=337,k1=aads|k2=bb|k18=cc,k1=1|k2=12|k3=337,k1=1|k2=12|k3=337,k1=true|k2=false|k18=true,k1=1|k2=12|k3=337,k1=aad~s|k2=b~b|k18=cc,k1=1|k2=12|k3=337~12.12,k1=1|k2=12|k3=337~12.12,k1=true~false~false|k2=false|k18=true
17,,17,text17,2.8,322.49,FALSE,64|4112|24,211|a|60|df,2.43|534.9|23.34|12.28,2.43|534.9|23.34|12.28,true|true|false|true,64|4112|24,2~11|a|60|df,2.43|534.9|23.34|12.28,2.43|534.9|23.34|12.28,true~true|true|false|true,k1=1|k2=12|k3=338,k1=assa|k2=bb|k19=cc,k1=1|k2=12|k3=338,k1=1|k2=12|k3=338,k1=true|k2=false|k19=true,k1=12~1|k2=12|k3=338,k1=assa|k2=bb|k19=cc,k1=1|k2=12|k3=338,k1=1|k2=12|k3=338,k1=true|k2=false|k19=true
18,,18,text18,2.9,322.5,FALSE,64|4112|25,s211|a|61|df,23.43|534.9|232.34|12.29,23.43|534.9|232.34|12.29,true|true|false|true,64|4112|25,s21~1|a|61|df,23.43|534.9|232.34|12.29,23.43|534.9|232.34|12.29,true~true|true|false|true,k1=1|k2=122|k3=339,k1=aa|k2=bb|k20=cc,k1=1.2|k2=122|k3=339,k1=1.2|k2=122|k3=339,k1=true|k2=false|k20=true,k1=1~2|k2=1~22|k3=339,k1=aa|k2=bb|k20=cc,k1=1.2|k2=12.2~12.22|k3=339~12.11,k1=1.2|k2=12.2~12.22|k3=339~12.11,k1=true|k2=false|k20=true
19,,19,text19,3.33,322.51,FALSE,64|4112|26,211|a|62|df,23.43|534.9|23.34|12.30,23.43|534.9|23.34|12.30,true|true|false|true,64|4112|26,211|a|62|df,23.43|534.9|23.34|12.30,23.43|534.9|23.34|12.30,true|true|false~true~true|true,k1=1|k2=12|k3=340,k1=aa|k2=baab|k21=cca,k1=1|k2=12|k3=340,k1=1|k2=12|k3=340,k1=true|k2=false|k21=true,k1=1|k2=12|k3=340,k1=aa|k2=ba~ab|k21=cca,k1=1|k2=12|k3=340,k1=1|k2=12|k3=340,k1=true|k2=false|k21=true
20,,20,text20,3.1,322.52,FALSE,64|4112|27,211|a|63|df,23.43|534.9|23.34|12.31,23.43|534.9|23.34|12.31,false|false|false|true,64~99|4112|27~330,211|a|63|df,23.43~12.1~54.1|534.9|23.34|12.31,23.43~12.1~54.1|534.9|23.34|12.31,false|false|false|true,k1=1|k2=1232|k3=341,k1=aa|k2=bbss|k22=ccss,k1=1|k2=12.32|k3=3.41,k1=1|k2=12.32|k3=3.41,k1=true|k2=false|k22=true,k1=1|k2=123~2|k3=341,k1=aa|k2=bb~ss|k22=ccss,k1=1|k2=12.32|k3=3.41,k1=1|k2=12.32|k3=3.41,k1=true~false|k2=false|k22=true
21,,21,text21,3.2,322.53,TRUE,64|4112|28,211|a|64|df,23.43|534.9|23.34|122.32,23.43|534.9|23.34|122.32,true|true|false|true,64|4112|28,21~1|a|6~4|df,23.43|534.9|23.34|122.32,23.43|534.9|23.34|122.32,true|true~true|false|true~true,k1=1|k2=12|k3=342,k1=aa|k2=bb|k23=cc,k1=1|k2=12|k3=342,k1=1|k2=12|k3=342,k1=true|k2=false|k23=true,k1=1|k2=12|k3=342,k1=aa|k2=bb|k23=cc,k1=1|k2=12|k3=342,k1=1|k2=12|k3=342,k1=true|k2=false|k23=true~false
22,,22,text22,3.3,322.54,TRUE,64|4112|29,211|a|65|df,23.43|4.9|23.34|12.33,23.43|4.9|23.34|12.33,true|true|false|true,64|4112|29,211|a|65|df,23.43|4.9|23.34|12.33,23.43|4.9|23.34|12.33,true|true~true|false~true|true,k1=123|k2=12|k3=343,k1=aa|k2=bsdb|k24=cc,k1=123|k2=12|k3=3.43,k1=123|k2=12|k3=3.43,k1=true|k2=false|k24=true,k1=123|k2=12|k3=343,k1=aa|k2=bsdb|k24=cc,k1=123|k2=1~2|k3=3.43,k1=123|k2=1~2|k3=3.43,k1=true|k2=false|k24=true
23,,23,text23,3.4,322.55,TRUE,64|4112|30,211|a|66|df,23.43|534.9|23.34|12.34,23.43|534.9|23.34|12.34,true|true|false|true,64|41~343|30~23,211|a|66|df,23.43|534.9|23.34|12.34,23.43|534.9|23.34|12.34,true|true|false|true~false,k1=1|k2=12|k3=344,k1=aaaa|k2=bssb|k25=cc,k1=1|k2=1.2|k3=344,k1=1|k2=1.2|k3=344,k1=true|k2=false|k25=true,k1=1~233|k2=1~2|k3=3~44,k1=aa~aa|k2=bs~sb|k25=cc,k1=1|k2=1.2|k3=344,k1=1|k2=1.2|k3=344,k1=true|k2=false|k25=true
24,,24,text24,3.5,322.56,TRUE,64|4112|31,211|a|67|df,23.43|534.9|23.34|12.35,23.43|534.9|23.34|12.35,false|false|false|false,12~64|4112|31,211|a|67|df,23.43|534.9|23.34|12.35~12.23~1,23.43|534.9|23.34|12.35~12.23~1,false~true|false~true|false~true|false,k1=1|k2=12|k3=345,k1=assa|k2=bb|k26=cc,k1=1|k2=12|k3=34.5,k1=1|k2=12|k3=34.5,k1=true|k2=false|k26=true,k1=1|k2=12|k3=3~45,k1=as~sa|k2=bb|k26=cc,k1=1|k2=12|k3=3~4.5,k1=1|k2=12|k3=3~4.5,k1=true|k2=false|k26=true~false
25,,25,text25,3.6,322.57,TRUE,64|4112|32,211|a|68|df,23.43|5234.9|23.34|12.36,23.43|5234.9|23.34|12.36,true|true|false|true,64~23|4112|32~23,21~1|a|6~8|d~f,23.43~21.2~112.33|5234.9|23.34|12.36,23.43~21.2~112.33|5234.9|23.34|12.36,true|true~false|false~false|true~false,k1=1|k2=12|k3=346,k1=aa|k2=bbss|k27=cssc,k1=1|k2=1.2|k3=34.6,k1=1|k2=1.2|k3=34.6,k1=true|k2=false|k27=true,k1=1|k2=12|k3=34~6,k1=aa|k2=bb~ss|k27=cssc,k1=1|k2=1.2|k3=3~4.6,k1=1|k2=1.2|k3=3~4.6,k1=true~false|k2=false|k27=true
